key                             	LEVEL	LMIN	LMAX	DMIN	DMAX	AC	TOHIT	SPEED	ATTFRE	CHAAPP	CNTAPP	ATTSPD
AMAZA1                          	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
AMAZA2                          	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
AMAZA3                          	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
AMAZA4                          	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
AMAZB1                          	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
AMAZB2                          	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
AMAZB3                          	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
AMAZB4                          	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
AMAZC1                          	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
AMAZC2                          	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
AMAZC3                          	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
AMAZC4                          	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
AMAZD1                          	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
AMAZD2                          	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
AMAZD3                          	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
AMAZD4                          	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
APOTHICAIRE                     	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
ARMURIER                        	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
BANQUIER                        	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
BAT1                            	     2	     4	     5	     2	     3	    10	     5	   800	    40	    10	     5	    14
BAT2                            	     4	    10	    12	     4	     7	    11	     8	   800	    40	    12	     5	    14
BAT3                            	    17	    51	    53	    10	    14	    38	    28	   800	    40	     8	     5	    14
BAT4                            	    22	    73	    75	    15	    19	    38	    37	   800	    40	     8	     5	    14
BEHOAP1                         	    19	    63	    65	    19	    23	    64	    32	   350	    40	     8	    50	    20
BEHOAP2                         	    27	    92	    95	    27	    32	    89	    44	   350	    50	    12	     1	    20
BILL                            	     0	     0	     0	     0	     0	     0	     0	   400	     0	     0	     1	     0
BONNEAVENTURE                   	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
BOSS1                           	    31	  4000	  4500	    50	    60	   140	   100	  1600	    90	     0	     4	    20
BOSSX                           	    -1	   350	   400	    60	    80	   150	   100	   600	    80	     7	     1	    30
BOSSX2                          	    -1	   350	   400	    60	    80	   150	   100	   600	    80	     7	     1	    30
BOSSX3                          	    -1	   350	   400	    60	    80	   150	   100	   600	    80	     7	     1	    30
CHARPENTIER                     	     0	   100	   200	    25	    30	    50	    40	   400	    20	     2	     1	    20
CHICKEN                         	    -1	     1	     1	     1	     1	     1	    40	   400	    10	    14	     3	    16
DRAGONKNIGHT                    	     6	    34	    36	     6	    10	    23	    11	   940	    40	     7	     1	    20
DRAGONKNIGHT2                   	     7	    36	    38	     7	    11	    25	    12	   940	    40	    10	     1	    20
