key                             	DMIN	DMAX	AC	LEVEL	STR	DEX	MAG	VIT	DUR
ITBOWAERON                      	    18	    20	     0	     0	     0	     0	     0	     0	    20
ITCHEAT                         	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITCORNEABONDANCE                	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITCORNEABONDANCE2               	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITCOUFFIN                       	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITCOUPE                         	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITCROIX                         	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITDARKFLEUR                     	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITDIADEME                       	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITEMHELMETDEMON                 	     0	     0	     2	     0	     0	     0	     0	     0	    10
ITEM_AMULET                     	     0	     0	     0	     2	     0	     0	     0	     0	     0
ITEM_ARMOR_1                    	     0	     0	    24	    10	    20	     0	     0	     0	    35
ITEM_ARMOR_2                    	     0	     0	    28	    12	    25	     0	     0	     0	    40
ITEM_ARMOR_3                    	     0	     0	    32	    14	    30	     0	     0	     0	    45
ITEM_ARMOR_4                    	     0	     0	    36	    16	    35	     0	     0	     0	    50
ITEM_ARMOR_5                    	     0	     0	    40	    18	    40	     0	     0	     0	    55
ITEM_ASTRAL_HAND                	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITEM_AXE1H_1                    	     2	    10	     0	     2	     0	     0	     0	     0	    25
ITEM_AXE1H_2                    	     4	    12	     0	     2	     0	     0	     0	     0	    30
ITEM_AXE1H_3                    	     6	    14	     0	     4	     0	     0	     0	     0	    35
ITEM_AXE1H_4                    	     8	    16	     0	     6	    25	     0	     0	     0	    40
ITEM_AXE1H_5                    	    10	    18	     0	     8	    35	     0	     0	     0	    45
ITEM_AXE2H_1                    	    22	    36	     0	    20	    85	    25	     0	     0	    75
ITEM_AXE2H_2                    	    24	    38	     0	    22	    90	    30	     0	     0	    80
ITEM_AXE2H_3                    	    26	    40	     0	    24	    95	    35	     0	     0	    85
ITEM_AXE2H_4                    	    28	    42	     0	    26	   100	    40	     0	     0	    90
ITEM_AXE2H_5                    	    30	    44	     0	    28	   100	    45	     0	     0	    95
ITEM_AXEVAMPIRE                 	    24	    28	     0	    25	     0	     0	     0	     0	    80
ITEM_BOOK_ABSORPTION            	     0	     0	     0	    17	     0	     0	     0	     0	     0
ITEM_BOOK_ANTIPOISON            	     0	     0	     0	     1	     0	     0	     0	     0	     0
ITEM_BOOK_BENEDICTION           	     0	     0	     0	    25	     0	     0	     0	     0	     0
ITEM_BOOK_BERSERKER             	     0	     0	     0	     1	     0	     0	     0	     0	     0
ITEM_BOOK_DETECTION             	     0	     0	     0	     9	     0	     0	     0	     0	     0
ITEM_BOOK_ECLAIR                	     0	     0	     0	     9	     0	     0	     0	     0	     0
ITEM_BOOK_FEAR                  	     0	     0	     0	    17	     0	     0	     0	     0	     0
ITEM_BOOK_FIREBALL              	     0	     0	     0	    17	     0	     0	     0	     0	     0
ITEM_BOOK_FIREWALL              	     0	     0	     0	    17	     0	     0	     0	     0	     0
ITEM_BOOK_FLAMEWAVE             	     0	     0	     0	    25	     0	     0	     0	     0	     0
ITEM_BOOK_FLASH                 	     0	     0	     0	    25	     0	     0	     0	     0	     0
ITEM_BOOK_FOOD                  	     0	     0	     0	     9	     0	     0	     0	     0	     0
ITEM_BOOK_GOLEM                 	     0	     0	     0	    25	     0	     0	     0	     0	     0
ITEM_BOOK_HASTE                 	     0	     0	     0	     9	     0	     0	     0	     0	     0
ITEM_BOOK_HEALING               	     0	     0	     0	     1	     0	     0	     0	     0	     0
ITEM_BOOK_IDENTIFY              	     0	     0	     0	    25	     0	     0	     0	     0	     0
ITEM_BOOK_INFERNO               	     0	     0	     0	    25	     0	     0	     0	     0	     0
ITEM_BOOK_INFRAVISION           	     0	     0	     0	     9	     0	     0	     0	     0	     0
ITEM_BOOK_INVISIBILITY          	     0	     0	     0	     9	     0	     0	     0	     0	     0
ITEM_BOOK_LIGHT                 	     0	     0	     0	     1	     0	     0	     0	     0	     0
ITEM_BOOK_MAGICARMOR            	     0	     0	     0	    25	     0	     0	     0	     0	     0
ITEM_BOOK_MAGICBOMB             	     0	     0	     0	     9	     0	     0	     0	     0	     0
ITEM_BOOK_MAGICMISSILE          	     0	     0	     0	     1	     0	     0	     0	     0	     0
ITEM_BOOK_NOVA                  	     0	     0	     0	    17	     0	     0	     0	     0	     0
ITEM_BOOK_POISONCLOUD           	     0	     0	     0	    25	     0	     0	     0	     0	     0
ITEM_BOOK_RECHARGE              	     0	     0	     0	    17	     0	     0	     0	     0	     0
ITEM_BOOK_REFLECTION            	     0	     0	     0	     1	     0	     0	     0	     0	     0
ITEM_BOOK_RESURRECT             	     0	     0	     0	     1	     0	     0	     0	     0	     0
ITEM_BOOK_STONE                 	     0	     0	     0	    17	     0	     0	     0	     0	     0
ITEM_BOOK_TELEKINESIS           	     0	     0	     0	     9	     0	     0	     0	     0	     0
ITEM_BOOK_TELEPORT              	     0	     0	     0	    17	     0	     0	     0	     0	     0
ITEM_BOOK_TOWNPORTAL            	     0	     0	     0	     1	     0	     0	     0	     0	     0
ITEM_BOUCLIERLUM                	     0	     0	     4	     6	    20	     0	     0	     0	    60
ITEM_BOW_1                      	     2	     4	     0	     0	     0	     0	     0	     0	    10
ITEM_BOW_10                     	    20	    22	     0	    16	     0	    60	     0	     0	    50
ITEM_BOW_11                     	    20	    24	     0	    18	    20	    70	     0	     0	    55
ITEM_BOW_12                     	    22	    26	     0	    20	    30	    80	     0	     0	    60
ITEM_BOW_13                     	    22	    28	     0	    22	    40	    90	     0	     0	    65
ITEM_BOW_14                     	    24	    30	     0	    24	    50	    90	     0	     0	    70
ITEM_BOW_15                     	    24	    32	     0	    26	    60	   100	     0	     0	    75
ITEM_BOW_16                     	    26	    34	     0	    28	    70	   110	     0	     0	    80
ITEM_BOW_2                      	     4	     6	     0	     1	     0	     0	     0	     0	    10
ITEM_BOW_3                      	     6	     8	     0	     2	     0	     0	     0	     0	    15
ITEM_BOW_4                      	     8	    10	     0	     4	     0	     0	     0	     0	    20
ITEM_BOW_5                      	    10	    12	     0	     6	     0	    25	     0	     0	    25
ITEM_BOW_6                      	    12	    14	     0	     8	     0	    30	     0	     0	    30
ITEM_BOW_7                      	    14	    16	     0	    10	     0	    35	     0	     0	    35
ITEM_BOW_8                      	    16	    18	     0	    12	     0	    40	     0	     0	    40
ITEM_BOW_9                      	    18	    20	     0	    14	     0	    50	     0	     0	    45
ITEM_CORNELICORNE               	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITEM_CRISTAL1                   	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITEM_CRISTAL2                   	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITEM_CRISTAL3                   	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITEM_CRISTAL4                   	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITEM_CRISTAL5                   	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITEM_CRISTAL6                   	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITEM_CRISTAL7                   	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITEM_CROWN                      	     0	     0	    14	     9	     0	     0	     0	     0	    30
ITEM_CUSTOM1                    	     0	     0	     0	    20	     0	     0	    50	     0	   100
ITEM_CUSTOM2                    	     0	     0	     0	     5	     0	     0	     0	     0	     0
ITEM_CUSTOM3                    	     0	     0	     0	    16	     0	     0	     0	     0	     0
ITEM_CUSTOM4                    	    60	    80	     0	     0	     0	     0	     0	     0	    -1
ITEM_CUSTOM5                    	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITEM_CUSTOM6                    	     0	     0	    16	    28	     0	     0	     0	     0	    80
ITEM_DAGUE                      	     2	     3	     0	     0	     0	     0	     0	     0	    10
ITEM_ECAILLE                    	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITEM_ENCLUME                    	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITEM_FAUX_1                     	    20	    30	     0	    18	     0	    20	     0	     0	    50
ITEM_FEARARMOR                  	     0	     0	    10	    18	     0	     0	     0	     0	    55
ITEM_FIREBOW                    	     8	    10	     0	    16	     0	     0	     0	     0	    80
ITEM_FIRESTAFF                  	     4	    14	     0	    20	     0	     0	     0	     0	    80
ITEM_FIRESWORD                  	    12	    14	     0	    18	     0	     0	     0	     0	    60
ITEM_FOOD                       	     0	     0	     0	     0	     0	     0	     0	     0	   100
ITEM_FOOD2                      	     0	     0	     0	     0	     0	     0	     0	     0	   100
ITEM_FOOD3                      	     0	     0	     0	    20	     0	     0	     0	     0	   100
ITEM_FOOD4                      	     0	     0	     0	     0	     0	     0	     0	     0	   100
ITEM_FOOD5                      	     0	     0	     0	     0	     0	     0	     0	     0	   100
ITEM_FOOD7                      	     0	     0	     0	     0	     0	     0	     0	     0	   100
ITEM_FOOD8                      	     0	     0	     0	     0	     0	     0	     0	     0	   100
ITEM_FOOD9                      	     0	     0	     0	     0	     0	     0	     0	     0	   100
ITEM_GOLD                       	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITEM_GOLD2                      	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITEM_GOLD3                      	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITEM_HACHETTE                   	     4	     8	     0	     5	     0	     0	     0	     0	    10
ITEM_HALLEBARDE                 	    40	    60	     0	    12	     0	    40	     0	     0	    60
ITEM_HAMMER_1                   	    12	    20	     0	    10	    50	     0	     0	     0	    50
ITEM_HAMMER_2                   	    14	    22	     0	    12	    60	     0	     0	     0	    55
ITEM_HAMMER_3                   	    16	    24	     0	    14	    70	     0	     0	     0	    60
ITEM_HAMMER_4                   	    22	    28	     0	    22	    75	     0	     0	     0	    65
ITEM_HAMMER_5                   	    24	    30	     0	    26	    80	     0	     0	     0	    70
ITEM_HELMET_1                   	     0	     0	     2	     0	     0	     0	     0	     0	    10
ITEM_HELMET_2                   	     0	     0	     4	     4	     0	     0	     0	     0	    20
ITEM_HELMET_3                   	     0	     0	     6	     8	     0	     0	     0	     0	    30
ITEM_HELMET_4                   	     0	     0	     8	    12	     0	     0	     0	     0	    40
ITEM_HELMET_5                   	     0	     0	    10	    16	     0	     0	     0	     0	    50
ITEM_HELMET_6                   	     0	     0	    12	    20	     0	     0	     0	     0	    60
ITEM_HELMET_7                   	     0	     0	    14	    24	     0	     0	     0	     0	    70
ITEM_HELMET_8                   	     0	     0	    16	    28	     0	     0	     0	     0	    80
ITEM_LANCE                      	    20	    30	     0	    15	     0	    20	     0	     0	    50
ITEM_LIVRECHEMIN                	     0	     0	     0	     0	     0	     0	     0	     0	     0
ITEM_MAIL_1                     	     0	     0	    44	    20	    45	     0	     0	     0	    60
ITEM_MAIL_2                     	     0	     0	    48	    22	    50	     0	     0	     0	    65
ITEM_MAIL_3                     	     0	     0	    52	    24	    55	     0	     0	     0	    70
ITEM_MAIL_4                     	     0	     0	    56	    26	    60	     0	     0	     0	    75
